 ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
EUROMILLONES,,,,,,,,
AÑO 2004,,,,,,,,
,,,,,,,,
SORTEO,FECHA,COMBINACION GANADORA,,,,,,
2004,,,,NÚMEROS,,,ESTRELLAS,
,,,,,,,,
,37988,,,,,,,
,37995,,,,,,,
,38002,,,,,,,
,38009,,,,,,,
,38016,,,,,,,
,38023,,,,,,,
1,38030,32,16.0,29,41.0,36.0,9,7.0
2,38037,13,50.0,47,7.0,39.0,2,5.0
3,38044,37,19.0,18,14.0,31.0,5,4.0
4,38051,39,37.0,4,7.0,33.0,5,1.0
5,38058,44,47.0,15,28.0,24.0,4,5.0
6,38065,42,45.0,33,37.0,36.0,9,4.0
7,38072,23,43.0,3,4.0,10.0,2,4.0
8,38079,4,24.0,12,36.0,27.0,2,9.0
9,38086,23,19.0,10,1.0,4.0,2,8.0
10,38093,28,40.0,14,15.0,35.0,3,1.0
11,38100,45,21.0,6,49.0,10.0,5,3.0
12,38107,27,16.0,6,5.0,23.0,7,6.0
13,38114,38,36.0,15,16.0,21.0,1,5.0
14,38121,32,3.0,1,39.0,21.0,2,6.0
15,38128,37,39.0,29,15.0,49.0,4,9.0
16,38135,41,44.0,6,35.0,11.0,6,5.0
17,38142,41,42.0,34,13.0,9.0,7,3.0
18,38149,7,2.0,47,10.0,8.0,1,7.0
19,38156,28,2.0,40,23.0,43.0,6,2.0
20,38163,30,21.0,35,3.0,34.0,1,2.0
21,38170,4,28.0,24,23.0,34.0,1,3.0
22,38177,44,19.0,5,12.0,2.0,8,9.0
23,38184,26,50.0,31,24.0,38.0,8,5.0
24,38191,10,27.0,7,34.0,31.0,8,3.0
25,38198,50,10.0,9,19.0,37.0,6,1.0
26,38205,5,35.0,44,15.0,24.0,6,5.0
27,38212,27,20.0,41,43.0,50.0,8,5.0
28,38219,27,10.0,35,9.0,6.0,6,8.0
29,38226,28,1.0,44,22.0,11.0,1,9.0
30,38233,14,12.0,15,34.0,8.0,7,6.0
31,38240,5,38.0,36,25.0,33.0,5,2.0
32,38247,41,39.0,15,18.0,29.0,8,5.0
33,38254,48,21.0,26,27.0,44.0,1,7.0
34,38261,48,20.0,45,21.0,12.0,6,5.0
35,38268,12,10.0,48,1.0,16.0,2,6.0
36,38275,37,21.0,14,43.0,22.0,5,8.0
37,38282,9,25.0,1,40.0,23.0,3,9.0
38,38289,32,1.0,38,35.0,8.0,9,4.0
39,38296,25,42.0,49,19.0,6.0,1,7.0
40,38303,12,13.0,4,32.0,11.0,9,3.0
41,38310,37,29.0,34,18.0,1.0,6,2.0
42,38317,24,1.0,34,4.0,36.0,8,6.0
43,38324,15,42.0,11,1.0,49.0,4,3.0
44,38331,3,13.0,43,1.0,16.0,7,2.0
45,38338,49,22.0,19,15.0,46.0,9,2.0
46,38345,3,27.0,29,4.0,37.0,6,5.0
47,38352,8,7.0,47,25.0,24.0,8,9.0
